trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.898, 'e': 0.95}",20,0,-30.71866502178022,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
2,False,"{'a': 0.896, 'e': 0.9024999999999999}",20,0,-91.37615184388682,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.894, 'e': 0.8573749999999999}",20,0,-111.17912663683592,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",1
4,False,"{'a': 0.892, 'e': 0.8145062499999999}",20,0,-27.83986030173752,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
5,False,"{'a': 0.89, 'e': 0.7737809374999998}",25,0,-68.2134551512848,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 1}",0
6,False,"{'a': 0.888, 'e': 0.7350918906249998}",20,12,-28.64662794485767,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
7,False,"{'a': 0.886, 'e': 0.6983372960937497}",20,15,-11.513656173740738,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
8,False,"{'a': 0.884, 'e': 0.6634204312890623}",25,14,-10.172225665700505,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
9,False,"{'a': 0.882, 'e': 0.6302494097246091}",25,0,-116.4471437659761,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
10,False,"{'a': 0.88, 'e': 0.5987369392383787}",20,0,-110.0844880285213,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 0.878, 'e': 0.5688000922764597}",25,0,-122.48073189854624,"{0: 16, 1: 4, 2: 2, 3: 1, 4: 2}",0
12,False,"{'a': 0.876, 'e': 0.5403600876626367}",20,0,-72.27979770320187,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
13,False,"{'a': 0.874, 'e': 0.5133420832795048}",20,0,-104.41923697696348,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
14,False,"{'a': 0.872, 'e': 0.48767497911552954}",30,2,-23.523391322857506,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 1}",1
15,False,"{'a': 0.87, 'e': 0.46329123015975304}",20,5,-23.890043079022064,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
16,False,"{'a': 0.868, 'e': 0.44012666865176536}",20,0,-40.70923370331509,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
17,False,"{'a': 0.866, 'e': 0.4181203352191771}",20,0,-79.99803871471612,"{0: 16, 1: 0, 2: 0, 3: 3, 4: 1}",0
18,False,"{'a': 0.864, 'e': 0.3972143184582182}",25,8,-45.21213480074667,"{0: 12, 1: 1, 2: 2, 3: 2, 4: 0}",1
19,False,"{'a': 0.862, 'e': 0.37735360253530725}",20,7,-8.259155975009975,"{0: 11, 1: 1, 2: 0, 3: 1, 4: 0}",1
20,False,"{'a': 0.86, 'e': 0.3584859224085419}",30,0,-69.4956671484844,"{0: 25, 1: 0, 2: 2, 3: 2, 4: 1}",0
21,False,"{'a': 0.858, 'e': 0.34056162628811476}",20,3,4.0211950884896215,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
22,False,"{'a': 0.856, 'e': 0.323533544973709}",25,0,-4.622969603638915,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
23,False,"{'a': 0.854, 'e': 0.3073568677250236}",20,4,-26.62476029782276,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
24,False,"{'a': 0.852, 'e': 0.2919890243387724}",20,4,12.568731517962785,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.85, 'e': 0.27738957312183377}",20,5,-17.697970065190404,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
26,False,"{'a': 0.848, 'e': 0.26352009446574204}",25,0,4.684713459962713,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
27,False,"{'a': 0.846, 'e': 0.2503440897424549}",20,5,-41.001466398641135,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
28,False,"{'a': 0.844, 'e': 0.23782688525533216}",25,15,-10.870105343066822,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
29,False,"{'a': 0.842, 'e': 0.22593554099256555}",20,10,13.390839247497984,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.84, 'e': 0.21463876394293727}",20,0,4.71614120307656,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
31,False,"{'a': 0.838, 'e': 0.2039068257457904}",20,0,30.557843474738007,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
32,False,"{'a': 0.836, 'e': 0.19371148445850087}",20,0,-14.033274655997891,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
33,False,"{'a': 0.834, 'e': 0.1840259102355758}",20,7,-55.51924984361873,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 1}",1
34,False,"{'a': 0.832, 'e': 0.174824614723797}",25,0,-11.06031829557644,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",1
35,False,"{'a': 0.83, 'e': 0.16608338398760716}",25,7,-9.667975664540336,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
36,False,"{'a': 0.828, 'e': 0.1577792147882268}",25,18,14.208312780847356,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.826, 'e': 0.14989025404881545}",25,19,10.890946608936654,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.824, 'e': 0.14239574134637467}",20,6,-22.57527946271724,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
39,False,"{'a': 0.822, 'e': 0.13527595427905592}",20,0,-34.961198829866916,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",1
40,False,"{'a': 0.82, 'e': 0.12851215656510312}",20,6,23.49984526749765,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.818, 'e': 0.12208654873684796}",20,0,1.768378703222509,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
42,False,"{'a': 0.816, 'e': 0.11598222130000556}",30,18,4.071233864647867,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
43,False,"{'a': 0.814, 'e': 0.11018311023500528}",25,0,1.5410224841387596,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
44,False,"{'a': 0.8119999999999999, 'e': 0.10467395472325501}",20,6,-17.68678756317636,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
45,False,"{'a': 0.8099999999999999, 'e': 0.09944025698709225}",25,0,-1.7700485752603363,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
46,False,"{'a': 0.8079999999999999, 'e': 0.09446824413773763}",20,3,13.44430111411548,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
47,False,"{'a': 0.8059999999999999, 'e': 0.08974483193085074}",20,5,22.64646684776322,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.8039999999999999, 'e': 0.0852575903343082}",25,2,-16.634133568639335,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 1}",1
49,False,"{'a': 0.8019999999999999, 'e': 0.0809947108175928}",20,12,8.021824507503517,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.7999999999999999, 'e': 0.07694497527671315}",30,20,20.358517529476895,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.7979999999999999, 'e': 0.07309772651287749}",20,5,15.471470133151175,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
52,False,"{'a': 0.7959999999999999, 'e': 0.06944284018723361}",20,14,11.438588566549946,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
