trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-67.09471113015057,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-133.71310359169215,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-87.29072201324625,"{0: 14, 1: 2, 2: 9, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-126.97596702567508,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-181.57868992110897,"{0: 18, 1: 2, 2: 7, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-105.47631235756353,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-110.74769497519121,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-122.21137490999256,"{0: 10, 1: 5, 2: 3, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-215.47643638997042,"{0: 18, 1: 1, 2: 7, 3: 0, 4: 4}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-118.47246115692897,"{0: 12, 1: 2, 2: 2, 3: 3, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-200.8186050510453,"{0: 8, 1: 4, 2: 3, 3: 2, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-157.32372362958893,"{0: 12, 1: 3, 2: 6, 3: 3, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",35,0,-154.6932855720276,"{0: 18, 1: 7, 2: 6, 3: 4, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-144.13749686657414,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-84.45567800325624,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,3,-151.19137006485624,"{0: 9, 1: 2, 2: 9, 3: 1, 4: 1}",1
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-122.78713262037512,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-165.48931884750684,"{0: 18, 1: 2, 2: 6, 3: 2, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-134.33073461843514,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-106.16383176773519,"{0: 16, 1: 5, 2: 8, 3: 1, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-80.17627195956337,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-151.3691855471464,"{0: 7, 1: 1, 2: 11, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,13,-87.32912097339542,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 2}",1
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-56.05750542690532,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-133.3086227454102,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-121.2926837712149,"{0: 17, 1: 5, 2: 7, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-64.4576707061692,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",35,0,-281.4455580591417,"{0: 17, 1: 3, 2: 8, 3: 4, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-102.30019062780326,"{0: 13, 1: 7, 2: 4, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-134.66266413452564,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
