trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 0.9}",25,17,-10.554862681437148,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
2,False,"{'a': 0.9, 'e': 0.81}",30,0,-177.8353601468974,"{0: 17, 1: 3, 2: 6, 3: 2, 4: 2}",0
3,False,"{'a': 0.9, 'e': 0.7290000000000001}",20,0,-145.50478924309937,"{0: 12, 1: 4, 2: 0, 3: 1, 4: 3}",0
4,False,"{'a': 0.9, 'e': 0.6561}",20,0,-125.43405263767526,"{0: 13, 1: 4, 2: 0, 3: 0, 4: 3}",0
5,False,"{'a': 0.9, 'e': 0.5904900000000001}",20,0,-51.806536823764105,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
6,False,"{'a': 0.9, 'e': 0.531441}",30,0,-134.47961406463878,"{0: 21, 1: 3, 2: 1, 3: 3, 4: 2}",0
7,False,"{'a': 0.9, 'e': 0.4782969000000001}",30,0,-155.7097063924004,"{0: 19, 1: 3, 2: 4, 3: 2, 4: 2}",0
8,False,"{'a': 0.9, 'e': 0.4304672100000001}",20,0,-32.744076035178054,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
9,False,"{'a': 0.9, 'e': 0.3874204890000001}",20,0,-8.475097226894317,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
10,False,"{'a': 0.9, 'e': 0.3486784401000001}",25,5,-55.53659954437682,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",1
11,False,"{'a': 0.9, 'e': 0.31381059609000006}",30,0,-28.829150744918753,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 1}",0
12,False,"{'a': 0.9, 'e': 0.2824295364810001}",30,6,-8.733883526007324,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 0}",1
13,False,"{'a': 0.9, 'e': 0.2541865828329001}",30,0,-49.47993831387474,"{0: 25, 1: 0, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.9, 'e': 0.2287679245496101}",25,20,8.562554484410708,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.9, 'e': 0.20589113209464907}",25,12,-22.542389675955278,"{0: 8, 1: 3, 2: 2, 3: 0, 4: 0}",1
16,False,"{'a': 0.9, 'e': 0.18530201888518416}",25,6,18.2627643970155,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.9, 'e': 0.16677181699666577}",20,0,-60.59100552947649,"{0: 16, 1: 1, 2: 0, 3: 2, 4: 1}",0
18,False,"{'a': 0.9, 'e': 0.15009463529699918}",20,0,-132.6840406231898,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
19,False,"{'a': 0.9, 'e': 0.13508517176729928}",25,0,-82.62472735497184,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 2}",0
20,False,"{'a': 0.9, 'e': 0.12157665459056935}",20,0,20.50416564303175,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
21,False,"{'a': 0.9, 'e': 0.10941898913151242}",20,10,-2.3100682424249,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
22,False,"{'a': 0.9, 'e': 0.09847709021836118}",20,3,27.84511685985483,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.9, 'e': 0.08862938119652507}",25,13,8.319243162485229,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
